date,q.cms,site
2021-09-23,2.092891532143869,PL
2021-09-24,2.087227414330218,PL
2021-09-25,2.1240441801189465,PL
2021-09-26,2.0589068252619653,PL
2021-09-27,1.9824412347776832,PL
2021-09-28,2.1806853582554515,PL
2021-09-29,2.344944774851317,PL
2021-09-30,2.339280657037666,PL
2021-10-01,2.3109600679694133,PL
2021-10-02,2.3534409515717924,PL
2021-10-03,2.421410365335599,PL
2021-10-04,2.616822429906542,PL
2021-10-05,2.628150665533843,PL
2021-10-06,2.455395072217502,PL
2021-10-07,2.259983007646559,PL
2021-10-08,2.3902577173605213,PL
2021-10-09,2.565845369583687,PL
2021-10-10,2.5346927216086095,PL
2021-10-11,2.5063721325403567,PL
2021-10-12,2.6904559614839987,PL
2021-10-13,3.171905975644293,PL
2021-10-14,3.398470688190314,PL
2021-10-15,3.3418295100538087,PL
2021-10-16,3.2851883319173036,PL
2021-10-17,3.115264797507788,PL
2021-10-18,2.888700084961767,PL
2021-10-19,2.8603794958935143,PL
2021-10-20,3.0019824412347775,PL
2021-10-21,3.0303030303030303,PL
2021-10-22,3.200226564712546,PL
2021-10-23,3.1435853865760404,PL
2021-10-24,3.200226564712546,PL
2021-10-25,3.115264797507788,PL
2021-10-26,3.200226564712546,PL
2021-10-27,3.2285471537807986,PL
2021-10-28,3.5117530444633247,PL
2021-10-29,3.6533559898045875,PL
2021-10-30,3.426791277258567,PL
2021-10-31,3.398470688190314,PL
2020-07-15,14.528462192013594,DL
2020-07-16,13.42395921835174,DL
2020-07-17,12.744265080713678,DL
2020-07-18,12.4327386009629,DL
2020-07-19,11.668082696120079,DL
2020-07-20,10.960067969413764,DL
2020-07-21,10.138770886434438,DL
2020-07-22,9.685641461342396,DL
2020-07-23,9.770603228547154,DL
2020-07-24,10.421976777116964,DL
2020-07-25,9.85556499575191,DL
2020-07-26,9.175870858113848,DL
2020-07-27,8.524497309544039,DL
2020-07-28,8.496176720475786,DL
2020-07-29,8.411214953271028,DL
2020-07-30,8.269612007929764,DL
2020-07-31,8.382894364202775,DL
2020-08-01,7.986406117247238,DL
2020-08-02,7.67487963749646,DL
2020-08-03,7.2500708014726705,DL
2020-08-04,6.71197960917587,DL
2020-08-05,6.457094307561597,DL
2020-08-06,6.683659020107617,DL
2020-08-07,6.853582554517134,DL
2020-08-08,6.5420560747663545,DL
2020-08-09,6.032285471537808,DL
2020-08-10,5.777400169923534,DL
2020-08-11,5.749079580855281,DL
2020-08-12,5.437553101104503,DL
2020-08-13,5.295950155763239,DL
2020-08-14,5.324270744831492,DL
2020-08-15,5.352591333899745,DL
2020-08-16,5.154347210421976,DL
2020-08-17,5.0127442650807135,DL
2020-08-18,4.842820730671198,DL
2020-08-19,4.927782497875955,DL
2020-08-20,5.267629566694987,DL
2020-08-21,5.380911922967997,DL
2020-08-22,5.210988388558482,DL
2020-08-23,5.154347210421976,DL
2020-08-24,5.154347210421976,DL
2020-08-25,5.295950155763239,DL
2020-08-26,5.579156046445766,DL
2020-08-27,5.777400169923534,DL
2020-08-28,5.890682526196544,DL
2020-08-29,5.607476635514018,DL
2020-08-30,5.352591333899745,DL
2020-08-31,5.324270744831492,DL
2020-09-01,5.607476635514018,DL
2020-09-02,5.40923251203625,DL
2020-09-03,5.324270744831492,DL
2020-09-04,5.267629566694987,DL
2020-09-05,5.154347210421976,DL
2020-09-06,4.871141319739451,DL
2020-09-07,5.041064854148966,DL
2020-09-08,5.437553101104503,DL
2020-09-09,5.7207589917870285,DL
2020-09-10,5.890682526196544,DL
2020-09-11,5.7207589917870285,DL
2020-09-12,5.607476635514018,DL
2020-09-13,5.550835457377513,DL
2020-09-14,5.635797224582271,DL
2020-09-15,5.664117813650524,DL
2020-09-16,5.664117813650524,DL
2020-09-17,5.749079580855281,DL
2020-09-18,5.805720758991787,DL
2020-09-19,6.032285471537808,DL
2020-09-20,6.513735485698102,DL
2020-09-21,6.513735485698102,DL
2020-09-22,6.3154913622203335,DL
2020-09-23,6.683659020107617,DL
2020-09-24,6.627017841971113,DL
2020-09-25,6.59869725290286,DL
2020-09-26,6.881903143585387,DL
2020-09-27,7.193429623336165,DL
2020-09-28,7.589917870291702,DL
2020-09-29,7.929764939110733,DL
2020-09-30,8.09968847352025,DL
2020-10-01,8.071367884451996,DL
2020-10-02,8.32625318606627,DL
2020-10-03,8.212970829793258,DL
2020-10-04,8.241291418861511,DL
2020-10-05,8.241291418861511,DL
2020-10-06,8.09968847352025,DL
2020-10-07,8.269612007929764,DL
2020-10-08,8.241291418861511,DL
2020-10-09,8.184650240725006,DL
2020-10-10,8.496176720475786,DL
2020-10-11,9.232512036250354,DL
2020-10-12,9.713962050410649,DL
2020-10-13,9.770603228547154,DL
2020-10-14,10.988388558482015,DL
2020-10-15,12.092891532143868,DL
2020-10-16,12.885868026054942,DL
2020-10-17,13.338997451146984,DL
2020-10-18,13.990370999716793,DL
2020-10-19,14.783347493627867,DL
2020-10-20,16.001132823562727,DL
2020-10-21,14.641744548286603,DL
2020-10-22,14.131973945058057,DL
2020-10-23,13.338997451146984,DL
2020-10-24,12.489379779099405,DL
2020-10-25,11.3565562163693,DL
2020-10-26,10.988388558482015,DL
2020-10-27,11.866326819597846,DL
2020-10-28,12.885868026054942,DL
2020-10-29,14.075332766921552,DL
2020-10-30,14.358538657604077,DL
2020-10-31,13.905409232512035,DL
2020-11-01,13.338997451146984,DL
