"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"SFE-M-4","n","2023-07-10","TAC","10/15/2023",69.3,5,"50% methanol","ND","0.042","ND","ND","ND","0.15",0.0164,"ND"
"SFE-M-1S","y","2023-07-17","TAC","11/3/2023",87.2,5,"50% methanol","ND","0.026","ND","ND","ND","0.12",0.013,"ND"
"SFE-M-1S","y","2023-07-17","TAC","11/3/2023",56.5,5,"50% methanol","ND","0.021","ND","ND","ND","0.18",0.0201,"ND"
"SFE-M-1S","y","2023-07-17","TAC","11/3/2023",50.2,5,"50% methanol","ND","0.024","ND","ND","ND","0.21",0.0227,"ND"
"SFE-M-4","n","2023-07-17","TAC","10/7/2023",204.9,10,"50% methanol","ND","0.015","ND","ND","ND","0.13",0.0139,"ND"
"SFE-SH-1S","n","2023-07-24","TAC","10/7/2023",106.6,5,"50% methanol","ND","0.165","ND","ND","ND","0.1",0.0107,"ND"
"BLANK 8","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","2.06",0.2275,"ND"
"SFE-M-1S","n","2023-07-24","TAC","11/3/2023",201.8,10,"50% methanol","ND","0.083","ND","0.049","ND","0.13",0.0141,"ND"
"SFE-M-2","n","2023-07-24","TAC","10/7/2023",209.2,10,"50% methanol","ND","1.423","ND","0.165","ND","0.09",0.0098,"ND"
"SFE-M-3","n","2023-07-24","TAC","11/3/2023",239.4,10,"50% methanol","0.16","0.026","ND","0.062","ND","0.08",0.009,"ND"
"SFE-M-4","n","2023-07-24","TAC","11/3/2023",214.4,10,"50% methanol","ND","0.605","ND","0.173","ND","0.1",0.0105,"ND"
"SFE-SH-1S","n","2023-07-31","TAC","11/3/2023",132.1,5,"50% methanol","ND","0.12","ND","0.096","ND","0.08",0.0086,"ND"
"SFE-M-1S","y","2023-07-31","TAC","11/3/2023",179.1,10,"50% methanol","ND","5.137","ND","0.955","ND","0.1",0.0114,"ND"
"SFE-M-1S","y","2023-07-31","TAC","11/3/2023",198.1,10,"50% methanol","0.66","6.559","ND","1.024","ND","0.13",0.0149,"ND"
"SFE-M-1S","y","2023-07-31","TAC","11/3/2023",203.6,10,"50% methanol","0.64","6.736","ND","1.093","ND","0.13",0.0143,"ND"
"SFE-M-2","n","2023-07-31","TAC","11/3/2023",226.6,10,"50% methanol","ND","4.227","ND","0.792","ND","0.14",0.015,"ND"
"SFE-M-3","n","2023-07-31","TAC","11/3/2023",114.4,5,"50% methanol","0.35","0.588","ND","0.175","ND","0.09",0.0099,"ND"
