"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-08-09 20:00:00,25.178,8.917,21.702,694.184755704235,1.15532625224057,0.26550771112313
2022-08-09 20:05:00,25.178,8.941,19.8935,694.211237121822,1.15532625224057,0.26550771112313
2022-08-09 20:10:00,25.169,8.981,18.085,694.237718539409,1.15532625224057,0.26550771112313
2022-08-09 20:15:00,25.161,8.962,16.2765,694.264199956996,1.15532625224057,0.26550771112313
2022-08-09 20:20:00,25.136,8.918,14.468,694.290681374584,1.15532625224057,0.26550771112313
2022-08-09 20:25:00,25.119,8.878,12.6595,694.317162792171,1.15532625224057,0.26550771112313
2022-08-09 20:30:00,25.102,8.835,10.851,694.343644209758,1.15532625224057,0.26550771112313
2022-08-09 20:35:00,25.085,8.785,9.0425,694.370125627345,1.15532625224057,0.26550771112313
2022-08-09 20:40:00,25.068,8.731,7.234,694.396607044932,1.15532625224057,0.26550771112313
2022-08-09 20:45:00,25.035,8.689,5.4255,694.423088462519,1.15532625224057,0.26550771112313
2022-08-09 20:50:00,25.009,8.629,3.617,694.449569880106,1.15532625224057,0.26550771112313
2022-08-09 20:55:00,24.967,8.575,1.8085,694.476051297694,1.15532625224057,0.26550771112313
2022-08-09 21:00:00,24.942,8.53,0,694.502532715281,1.15532625224057,0.26550771112313
2022-08-09 21:05:00,24.934,8.483,0,694.529014132868,1.15532625224057,0.26550771112313
2022-08-09 21:10:00,24.875,8.418,0,694.555495550455,1.15532625224057,0.26550771112313
2022-08-09 21:15:00,24.85,8.339,0,694.581976968042,1.15532625224057,0.26550771112313
2022-08-09 21:20:00,24.85,8.297,0,694.608458385629,1.15532625224057,0.26550771112313
2022-08-09 21:25:00,24.799,8.252,0,694.634939803217,1.15532625224057,0.26550771112313
2022-08-09 21:30:00,24.774,8.205,0,694.661421220804,1.15532625224057,0.26550771112313
2022-08-09 21:35:00,24.757,8.158,0,694.687902638391,1.1562701462375,0.265633305658361
2022-08-09 21:40:00,24.715,8.114,0,694.714384055978,1.15721404023443,0.265758900193593
2022-08-09 21:45:00,24.682,8.075,0,694.740865473565,1.15815793423135,0.265884494728824
2022-08-09 21:50:00,24.648,8.034,0,694.767346891152,1.15815793423135,0.265884494728824
2022-08-09 21:55:00,24.631,7.967,0,694.79382830874,1.15815793423135,0.265884494728824
2022-08-09 22:00:00,24.623,7.956,0,694.820309726327,1.15815793423135,0.265884494728824
2022-08-09 22:05:00,24.614,7.912,0,694.846791143914,1.15815793423135,0.265884494728824
2022-08-09 22:10:00,24.589,7.889,0,694.873272561501,1.15815793423135,0.265884494728824
2022-08-09 22:15:00,24.598,7.845,0,694.899753979088,1.15815793423135,0.265884494728824
2022-08-09 22:20:00,24.572,7.823,0,694.926235396675,1.15815793423135,0.265884494728824
2022-08-09 22:25:00,24.539,7.8,0,694.952716814263,1.15815793423135,0.265884494728824
2022-08-09 22:30:00,24.547,7.772,0,694.97919823185,1.15815793423135,0.265884494728824
2022-08-09 22:35:00,24.514,7.769,0,695.005679649437,1.15815793423135,0.265884494728824
2022-08-09 22:40:00,24.497,7.753,0,695.032161067024,1.15815793423135,0.265884494728824
2022-08-09 22:45:00,24.488,7.71,0,695.058642484611,1.15815793423135,0.265884494728824
2022-08-09 22:50:00,24.48,7.688,0,695.085123902198,1.15815793423135,0.265884494728824
2022-08-09 22:55:00,24.488,7.639,0,695.111605319785,1.15815793423135,0.265884494728824
2022-08-09 23:00:00,24.446,7.642,0,695.138086737373,1.15815793423135,0.265884494728824
2022-08-09 23:05:00,24.43,7.627,0,695.150191932981,1.15815793423135,0.265884494728824
2022-08-09 23:10:00,24.43,7.541,0,695.162297128589,1.15815793423135,0.265884494728824
2022-08-09 23:15:00,24.413,7.554,0,695.174402324197,1.15815793423135,0.265884494728824
2022-08-09 23:20:00,24.388,7.534,0,695.186507519806,1.15815793423135,0.265884494728824
2022-08-09 23:25:00,24.388,7.518,0,695.198612715414,1.15815793423135,0.265884494728824
2022-08-09 23:30:00,24.362,7.505,0,695.210717911022,1.15815793423135,0.265884494728824
2022-08-09 23:35:00,24.362,7.465,0,695.222823106631,1.15815793423135,0.265884494728824
2022-08-09 23:40:00,24.362,7.427,0,695.234928302239,1.15815793423135,0.265884494728824
2022-08-09 23:45:00,24.346,7.418,0,695.247033497847,1.15815793423135,0.265884494728824
2022-08-09 23:50:00,24.337,7.384,0,695.259138693456,1.15815793423135,0.265884494728824
2022-08-09 23:55:00,24.32,7.363,0,695.271243889064,1.15815793423135,0.265884494728824
2022-08-10 00:00:00,24.312,7.338,0,695.283349084672,1.15815793423135,0.265884494728824
2022-08-10 00:05:00,24.287,7.331,0,695.295454280281,1.15815793423135,0.265884494728824
2022-08-10 00:10:00,24.295,7.325,0,695.307559475889,1.15815793423135,0.265884494728824
2022-08-10 00:15:00,24.279,7.295,0,695.319664671497,1.15815793423135,0.265884494728824
2022-08-10 00:20:00,24.262,7.28,0,695.331769867105,1.15815793423135,0.265884494728824
2022-08-10 00:25:00,24.253,7.254,0,695.343875062714,1.15815793423135,0.265884494728824
2022-08-10 00:30:00,24.245,7.243,0,695.355980258322,1.15815793423135,0.265884494728824
2022-08-10 00:35:00,24.228,7.226,0,695.36808545393,1.15815793423135,0.265884494728824
2022-08-10 00:40:00,24.22,7.2,0,695.380190649539,1.15815793423135,0.265884494728824
2022-08-10 00:45:00,24.211,7.184,0,695.392295845147,1.15815793423135,0.265884494728824
2022-08-10 00:50:00,24.195,7.16,0,695.404401040755,1.15815793423135,0.265884494728824
2022-08-10 00:55:00,24.203,7.159,0,695.416506236363,1.15815793423135,0.265884494728824
2022-08-10 01:00:00,24.161,7.144,0,695.428611431972,1.15815793423135,0.265884494728824
2022-08-10 01:05:00,24.169,7.129,0,695.44071662758,1.15815793423135,0.265884494728824
2022-08-10 01:10:00,24.153,7.108,0,695.452821823188,1.15815793423135,0.265884494728824
2022-08-10 01:15:00,24.144,7.09,0,695.464927018797,1.15815793423135,0.265884494728824
2022-08-10 01:20:00,24.111,7.074,0,695.477032214405,1.15815793423135,0.265884494728824
2022-08-10 01:25:00,24.111,7.066,0,695.489137410013,1.15815793423135,0.265884494728824
2022-08-10 01:30:00,24.094,7.031,0,695.501242605621,1.15815793423135,0.265884494728824
2022-08-10 01:35:00,24.086,7.005,0,695.51334780123,1.15815793423135,0.265884494728824
2022-08-10 01:40:00,24.06,7.021,0,695.525452996838,1.15815793423135,0.265884494728824
2022-08-10 01:45:00,24.035,6.996,0,695.537558192446,1.15815793423135,0.265884494728824
2022-08-10 01:50:00,24.027,6.98,0,695.549663388055,1.15815793423135,0.265884494728824
2022-08-10 01:55:00,24.018,6.961,0,695.561768583663,1.15815793423135,0.265884494728824
2022-08-10 02:00:00,24.002,6.943,0,695.573873779271,1.15815793423135,0.265884494728824
2022-08-10 02:05:00,23.985,6.932,0,695.573415406976,1.15815793423135,0.265884494728824
2022-08-10 02:10:00,23.96,6.921,0,695.572957034681,1.15815793423135,0.265884494728824
2022-08-10 02:15:00,23.977,6.884,0,695.572498662386,1.15815793423135,0.265884494728824
2022-08-10 02:20:00,23.926,6.856,0,695.572040290091,1.14494341827435,0.264126171235586
2022-08-10 02:25:00,23.918,6.873,0,695.571581917796,1.13172890231735,0.262367847742347
