"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-08-06,3.90483370809204,3.18069074369783,4.60129817077039,1.00080702639997,-4.58331599623613,-5.62659603425718,-3.5179695221247,1.00064869885443,-0.678482288144091,-2.44590529055935,1.08332864864569,3.15090088694453,1.0050615778703
"sfkeel_mir_2023",2023-08-07,3.74989870319229,3.06461005423147,4.45253466371442,1.00060099912127,-4.38751573376185,-5.44148391767756,-3.34907168030537,1.00048724942625,-0.637617030569552,-2.3768738634461,1.10346298340905,2.77763349438565,1.0030282034707
"sfkeel_mir_2023",2023-08-08,3.9270520952607,3.22878779365977,4.61829757522065,1.00117879305885,-4.68176646054558,-5.72853214805092,-3.62779942801071,1.00129774792198,-0.754714365284878,-2.49974435439115,0.990498147209938,2.74511886980197,1.00218450672318
"sfkeel_mir_2023",2023-08-09,3.95324784981665,3.27683208735383,4.63002021805725,1.00011279648221,-4.6982664353171,-5.72817084142789,-3.66572205677535,1.00014131326015,-0.745018585500452,-2.45133875407406,0.964298161281905,2.6826545396928,1.00134609030032
"sfkeel_mir_2023",2023-08-10,3.88854642442452,3.19752251753804,4.56541124195016,0.99993503152749,-4.68881044871882,-5.71273343422192,-3.64472771597018,0.999970351564993,-0.800264024294306,-2.51521091668389,0.920683525979976,2.59921430864113,1.00243934095373
"sfkeel_mir_2023",2023-08-11,3.83519549281147,3.15979564050621,4.51507447058499,1.00127251749219,-4.74770799481305,-5.80729559667334,-3.71886045932436,1.00187908395442,-0.912512502001571,-2.64749995616713,0.796214011260636,2.53448933876307,1.00201411043361
"sfkeel_mir_2023",2023-08-12,3.89470718344247,3.21620902479647,4.56612658106495,1.00169508712842,-4.92245033491933,-5.95818090275569,-3.90232084224473,1.00126023629928,-1.02774315147686,-2.74197187795922,0.663805738820211,2.42406633262689,1.0011479671437
"sfkeel_mir_2023",2023-08-13,3.97482315791251,3.29826396053078,4.64426194104744,1.00052602586512,-5.14445120682048,-6.17963670734445,-4.09854926610144,1.00080553300468,-1.16962804890798,-2.88137274681367,0.545712674946,2.5456954758344,1.00136349566213
"sfkeel_mir_2023",2023-08-14,4.46655457426861,3.79442720220034,5.12994243782926,1.00118229793067,-5.34693115272916,-6.34070848073633,-4.31857670022286,1.00079745737044,-0.880376578460551,-2.54628127853599,0.8113657376064,2.3579474695971,1.00285886133925
"sfkeel_mir_2023",2023-08-15,4.50060193097247,3.84120712679258,5.15782035200587,1.00115164209123,-5.68977991291851,-6.69890586425634,-4.67153160740684,1.00075211693821,-1.18917798194604,-2.85769873746376,0.486288744599026,2.05238857424228,1.00070166632899
"sfkeel_mir_2023",2023-08-16,4.58920397073667,3.94553715131874,5.23443086597934,1.00041252020924,-5.6866124168212,-6.68205525241672,-4.677535978442,1.00045113975821,-1.09740844608453,-2.73651810109799,0.556894887537333,2.01043978206718,1.00239684895989
"sfkeel_mir_2023",2023-08-17,4.08533448600569,3.4615472727695,4.70803080278935,1.00045251736486,-5.20080019457992,-6.1975179665647,-4.19669946521245,1.00122986328027,-1.11546570857423,-2.7359706937952,0.511331337576904,1.63501952622155,1.00326165508764
