SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
164,24-164,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2271,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,1.536,1.888,(<0.0344),ug/gram,,1.536,confirmed,-, ,0.352,confirmed,-, , ,1,,, ,, ,(<0.0445),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
165,24-165,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2309,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.253,0.273,(<0.0338),ug/gram,,0.253,confirmed,-, ,0.02,confirmed,-, , ,1,,, ,, ,(<0.0437),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
166,24-166,Salmon River,8/10/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2116,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0369),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0477),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
167,24-167,Salmon River,8/10/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.2018,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,0.004,(<0.0387),ug/gram,,-, ,-, ,0.004,possible,-, ,confirmed,1,,, ,, ,(<0.0500),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
168,24-168,Salmon River,8/10/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1893,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0412),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0533),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
169,24-169,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.87),ug/L,-1,-1,,,,(<0.7808),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<1.010),ug/L,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
170,24-170,Salmon River,8/10/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1983,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,,,(<0.0394),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0509),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
171,24-171,Salmon River,8/10/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1968,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0397),ug/gram,,-, ,-, ,-, ,-, ,possible,1,,, ,, ,(<0.0513),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
172,24-172,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1599,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,,,(<0.0488),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0632),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
173,24-173,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2074,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.964,1.064,(<0.0376),ug/gram,,0.964,confirmed,-, ,0.099,confirmed,-, , ,1,,, ,, ,(<0.0487),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
174,24-174,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.184,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,1.643,1.931,(<0.0424),ug/gram,,1.643,confirmed,-, ,0.289,confirmed,-, , ,1,,, ,, ,(<0.0549),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
175,24-175,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.207,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,5.235,6.296,(<0.0377),ug/gram,,5.235,confirmed,-, ,1.061,confirmed,-, , ,1,,, ,, ,(<0.0488),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
176,24-176,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1992,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,5.405,6.579,(<0.0392),ug/gram,,5.405,confirmed,-, ,1.174,confirmed,-, , ,1,,, ,, ,(<0.0507),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
177,24-177,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2313,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,5.857,7.064,(<0.0338),ug/gram,,5.857,confirmed,-, ,1.208,confirmed,-, , ,1,,, ,, ,(<0.0437),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
178,24-178,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.242,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,1.421,1.71,(<0.0323),ug/gram,,1.421,confirmed,-, ,0.29,confirmed,-, , ,1,,, ,, ,(<0.0417),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
179,24-179,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2325,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,3.252,3.835,(<0.0336),ug/gram,,3.252,confirmed,-, ,0.582,confirmed,-, , ,1,,, ,, ,(<0.0434),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
180,24-180,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1954,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,14.72,17.29,(<0.0400),ug/gram,,14.72,confirmed,-, ,2.57,confirmed,-, , ,1,,, ,, ,(<0.0517),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
181,24-181,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2132,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,5.969,6.985,(<0.0366),ug/gram,,5.969,confirmed,-, ,1.016,confirmed,-, , ,1,,, ,, ,(<0.0474),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
182,24-182,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2128,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,6.516,7.636,(<0.0367),ug/gram,,6.516,confirmed,-, ,1.12,confirmed,-, , ,1,,, ,, ,(<0.0475),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
183,24-183,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2179,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,6.389,7.466,(<0.0358),ug/gram,,6.389,confirmed,-, ,1.077,confirmed,-, , ,1,,, ,, ,(<0.0463),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
184,24-184,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2199,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,83.453,99.081,(<0.0355),ug/gram,,83.438,confirmed,0.016,suspect,15.628,confirmed,-, , ,1,,, ,, ,(<0.0459),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
185,24-185,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1506,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,6.294,7.7,(<0.0518),ug/gram,,6.294,confirmed,-, ,1.406,confirmed,-, , ,1,,, ,, ,(<0.0671),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
186,24-186,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1529,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,5.704,7.055,(<0.0511),ug/gram,,5.704,confirmed,-, ,1.351,confirmed,-, , ,1,,, ,, ,(<0.0661),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
187,24-187,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.15,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,5.491,6.803,(<0.0521),ug/gram,,5.491,confirmed,-, ,1.312,confirmed,-, , ,1,,, ,, ,(<0.0673),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
188,24-188,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2162,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,4.352,5.318,(<0.0361),ug/gram,,4.352,confirmed,-, ,0.966,confirmed,-, , ,1,,, ,, ,(<0.0467),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
189,24-189,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2447,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,14.081,16.61,(<0.0319),ug/gram,,14.081,confirmed,-, ,2.529,confirmed,-, , ,1,,, ,, ,(<0.0413),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
190,24-190,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.245,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,17.336,20.535,(<0.0319),ug/gram,,17.336,confirmed,-, ,3.198,confirmed,-, , ,1,,, ,, ,(<0.0412),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
191,24-191,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1927,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,7.714,9.675,(<0.0405),ug/gram,,7.714,confirmed,-, ,1.961,confirmed,-, , ,1,,, ,, ,(<0.0524),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
192,24-192,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1864,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,16.344,19.299,(<0.0419),ug/gram,,16.344,confirmed,-, ,2.955,confirmed,-, , ,1,,, ,, ,(<0.0542),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
193,24-193,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2103,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,19.714,22.947,(<0.0371),ug/gram,,19.714,confirmed,-, ,3.233,confirmed,-, , ,1,,, ,, ,(<0.0480),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
194,24-194,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1957,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,18.3,21.441,(<0.0399),ug/gram,,18.3,confirmed,-, ,3.141,confirmed,-, , ,1,,, ,, ,(<0.0516),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
195,24-195,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1865,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,16,18.032,(<0.0419),ug/gram,,16,confirmed,-, ,2.032,confirmed,-, , ,1,,, ,, ,(<0.0542),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
196,24-196,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2376,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,22.963,25.83,(<0.0329),ug/gram,,22.963,confirmed,-, ,2.867,confirmed,-, , ,1,,, ,, ,(<0.0425),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
197,24-197,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1976,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,1.699,1.937,(<0.0395),ug/gram,,1.699,confirmed,-, ,0.238,confirmed,-, , ,1,,, ,, ,(<0.0511),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
198,24-198,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<1.87),ug/L,-1,-1,,,,(<0.7808),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<1.010),ug/L,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
199,24-199,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.216,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,4.583,5.145,(<0.0361),ug/gram,,4.583,confirmed,-, ,0.561,confirmed,-, , ,1,,, ,, ,(<0.0468),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
200,24-200,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2159,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,11.952,13.03,(<0.0362),ug/gram,,11.952,confirmed,-, ,1.078,confirmed,-, , ,1,,, ,, ,(<0.0468),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
201,24-201,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2213,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,8.908,9.737,(<0.0353),ug/gram,,8.908,confirmed,-, ,0.828,confirmed,-, , ,1,,, ,, ,(<0.0456),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
202,24-202,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2133,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,8.536,9.432,(<0.0366),ug/gram,,8.536,confirmed,-, ,0.896,confirmed,-, , ,1,,, ,, ,(<0.0473),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
203,24-203,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2009,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,9.502,10.523,(<0.0389),ug/gram,,9.502,confirmed,-, ,1.021,confirmed,-, , ,1,,, ,, ,(<0.0503),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
204,24-204,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2099,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,18.323,19.99,(<0.0372),ug/gram,,18.323,confirmed,-, ,1.667,confirmed,-, , ,1,,, ,, ,(<0.0481),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
205,24-205,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2368,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,1.157,1.252,(<0.0330),ug/gram,,1.157,confirmed,-, ,0.095,confirmed,-, , ,1,,, ,, ,(<0.0426),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
206,24-206,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2176,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,7.295,8.304,(<0.0359),ug/gram,,7.295,confirmed,-, ,1.009,confirmed,-, , ,1,,, ,, ,(<0.0464),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
207,24-207,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.235,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,36.812,41.77,(<0.0332),ug/gram,,36.812,confirmed,-, ,4.958,confirmed,-, , ,1,,, ,, ,(<0.0430),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
208,24-208,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.196,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,5.437,5.895,(<0.0398),ug/gram,,5.437,confirmed,-, ,0.458,confirmed,-, , ,1,,, ,, ,(<0.0515),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
209,24-209,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.235,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,11.662,12.81,(<0.0332),ug/gram,,11.662,confirmed,-, ,1.148,confirmed,-, , ,1,,, ,, ,(<0.0430),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
210,24-210,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1998,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.692,0.784,(<0.0391),ug/gram,,0.692,confirmed,-, ,0.092,confirmed,-, , ,1,,, ,, ,(<0.0505),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
211,24-211,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2209,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.836,0.872,(<0.0353),ug/gram,,0.836,confirmed,-, ,0.036,confirmed,-, , ,1,,, ,, ,(<0.0457),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
212,24-212,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2445,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.595,0.653,(<0.0319),ug/gram,,0.595,confirmed,-, ,0.058,confirmed,-, , ,1,,, ,, ,(<0.0413),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
213,24-213,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2384,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,6.946,7.651,(<0.0328),ug/gram,,6.946,confirmed,-, ,0.705,confirmed,-, , ,1,,, ,, ,(<0.0424),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
214,24-214,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.246,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,11.87,13.245,(<0.0317),ug/gram,,11.87,confirmed,-, ,1.375,confirmed,-, , ,1,,, ,, ,(<0.0411),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
215,24-215,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1602,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,4.045,4.453,(<0.0487),ug/gram,,4.045,confirmed,-, ,0.408,confirmed,-, , ,1,,, ,, ,(<0.0630),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
216,24-216,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2335,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,3.651,4.022,(<0.0334),ug/gram,,3.651,confirmed,-, ,0.371,confirmed,-, , ,1,,, ,, ,(<0.0433),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
217,24-217,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.177,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.619,0.727,(<0.0129),ug/gram,,0.619,confirmed,-, ,0.108,confirmed,-, , ,1,,, ,, ,(<0.0225),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
218,24-218,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1901,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,5.312,5.637,(<0.0120),ug/gram,,5.312,confirmed,-, ,0.326,confirmed,-, , ,1,,, ,, ,(<0.0209),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
219,24-219,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2077,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.101,0.101,(<0.0110),ug/gram,,0.101,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0191),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
220,24-220,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0278,Owner,,Y,2,1-Feb-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,,,(<0.0164),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0286),ug/gram,,,4-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
